Type,Operator,Registration
Wright Flyer III,Military - U.S. Army,
Dirigible,Military - U.S. Navy,
Curtiss seaplane,Private,
Zeppelin L-1 (airship),Military - German Navy,
Zeppelin L-2 (airship),Military - German Navy,
Zeppelin L-8 (airship),Military - German Navy,
Zeppelin L-10 (airship),Military - German Navy,
Schutte-Lanz S-L-10 (airship),Military - German Army,
Zeppelin L-32 (airship),Military - German Navy,
Zeppelin L-31 (airship),Military - German Navy,
Super Zeppelin (airship),Military - German Army,
Zeppelin L-34 (airship),Military - German Navy,
Airship,Military - German Army,
Schutte-Lanz S-L-9 (airship),Military - German Navy,
Zeppelin L-22 (airship),Military - German Navy,
Zeppelin L-43 (airship),Military - German Navy,
Zeppelin L-23 (airship),Military - German Navy,
Zeppelin L-44 (airship),Military - German Navy,
Zeppelin L-59 (airship),Military - German Navy,
Zeppelin L-70 (airship),Military - German Navy,
Zeppelin L-53 (airship),Military - German Navy,
De Havilland DH-4,US Aerial Mail Service,97
De Havilland DH-4,US Aerial Mail Service,61
De Havilland DH-4,US Aerial Mail Service,82
De Havilland DH-4,Aircraft Transport and Travel,
Curtiss R-4LM,US Aerial Mail Service,32
De Havilland DH-4,Aircraft Transport and Travel,G-EAHG
De Havilland DH.4,US Aerial Mail Service,77
De Havilland DH-4,US Aerial Mail Service,65
De Havilland DH-4,US Aerial Mail Service,72
Curtiss R-4LM,US Aerial Mail Service,49
Curtiss JN-4H,US Aerial Mail Service,44
De Havilland DH-4,US Aerial Mail Service,79
De Havilland DH-4,US Aerial Mail Service,204
Armstrong-Whitworth F-K-8,By Air,G-EALW
De Havilland DH-4,US Aerial Mail Service,317
Junkers JL-6,US Aerial Mail Service,305
Junkers F-13,US Aerial Mail Service,308
De Havilland DH-4,US Aerial Mail Service,316
Salmson 2-A-2,Latecoere Airlines,F-ALAI
Breguet 14,Latecoere Airlines,F-ALTA
De Havilland DH-4,US Aerial Mail Service,76
De Havilland DH-4,US Aerial Mail Service,
Handley Page HP-16,Handley Page Transport,G-EAMA
Breguet 14,Aeropostale,F-ALBO
De Havilland DH-4,US Aerial Mail Service,130
Junkers F-13,US Aerial Mail Service,301
Breguet 14,Aeropostale,F-ALBA
De Havilland DH-4,US Aerial Mail Service,67
,Military - Royal Australian Air Force,H3021
De Havilland DH-4,US Aerial Mail Service,160
De Havilland DH-4,US Aerial Mail Service,196
,US Aerial Mail Service,176
De Havilland DH-4,US Aerial Mail Service,222
Breguet 14,Aeropostale,F-ALBI
Royal Airship Works ZR-2 (airship),Military - Royal Airship Works,R-38
Potez IX,Franco-Roumaine,F-ADCD
Bristol 28 Tourer,West Australian Airways,G-AUDI
Handley Page O/10,Handley Page Transport,G-EATN
Dirigible Roma (airship),Military - U.S. Army Air Service,
de Havilland DH-18 / Farman F-60 Goliath,Daimler Airways / Grands Express Aeriens,G-EAOW/FGEAD
,,
Vickers Viking,Vickers,G-EBBZ
De Havilland DH-4,US Aerial Mail Service,385
Bleriot Spad 27,Cie des Messageries Aeriennes,F-CMAY
Breguet 14,Grands Express Aeriens,
De Havilland DH-4,US Aerial Mail Service,227
de Havilland DH-9,,G-EAYT
Breguet 14,Grands Express Aeriens,
Breguet 14,Grands Express Aeriens,
Lior̩-et-Olivier H-13,Amee de l'Air,F-AEIB
Breguet 14,Grands Express Aeriens,F-ALJU
De Havilland DH-4,US Aerial Mail Service,223
De Havilland DH-4,US Aerial Mail Service,291
Farman F-60 Goliath,Grands Express Aeriens,F-AEBY
Bl̩riot Spad 46,Campagnie France Roumaine,F-AEGN
De Havilland DH-4,US Aerial Mail Service,283
de Havilland DH-34,Daimler Airways,G-EBBS
Junkers F-13,CCCP,D-257
De Havilland DH-4,US Aerial Mail Service,318
Zeppelin Dixmunde (airship),Military - French Navy,L-72
De Havilland DH-4,US Aerial Mail Service,315
De Havilland DH-4,US Aerial Mail Service,327
Fokker F.III,KLM Royal Dutch Airlines,H-NABS
Junkers F-13,SCADTA,A16
De Havilland DH-4,US Aerial Mail Service,297
,Grands Express Aeriens,F-AFBD
De Havilland DH-4,US Aerial Mail Service,311
de Havilland DH-34B,Imperial Airways,G-EBBX
Junkers F-13,Zakavia,R-RECA
Breguet 14,Grands Express Aeriens,
Breguet 14,Lignes Aeriennes Latecoere,F-AFBB
Fokker (KLM)  F.III,KLM Royal Dutch Airlines,H-NABM
Lior̩-et-Olivier H-13,Grands Express Aeriens,F-AHBH
Breguet 14,Lignes Aeriennes Latecoere,F-AFBI
Potez IX,CIDNA,
Dirigible ZR-1 Shenandoah (airship),Military - U.S. Navy,ZR-1
,CIDNA,
Farman F-60 Goliath,Air Union,F-AMFY
Curtiss Carrier Pigeon,US Aerial Mail Service,
Junkers F-13,Deutche Lufthansa,
Breguet 14,Air Union,F-ADAI
Caudron C-61,Compagnie Internationale de Navigation A̩rienne,F-AFBT
Fokker F-4,KLM Royal Dutch Airlines,H-NACC
Junkers F-13,Deutsche Lufthansa,D-272
Bleriot 155,Air Union,F-AIEB
Sikorsky S-25,,
Fokker FG III,Deutsche Lufthansa,D-468
Handley Page W-10,Imperial Airways,G-EBMS
Breguet 14,Grands Express Aeriens,
Ryan M-1,PacifiAir Transport,2
Fokker F-VII,KLM Royal Dutch Airlines,H-NADH
Breguet 14,Grands Express Aeriens,F-ALRA
de Havilland DH-9C,Qantas,G-AUED
,Varney Air Lines,
Douglas M-4,US Aerial Mail Service,626
Fokker FG III,Deutsche Lufthansa,D-729
SPCA Meteore 63,Air Union,
Junkers F-13,Deutsche Lufthansa,D-206
Fokker F-VIII,KLM Royal Dutch Airlines,
Fokker Universal,Colonial Air Transport,
Fokker F-VII,Reynolds Airways,NC776
BFW M-18,Deutsche Lufthansa,D-1177
Dornier Merkur,Deutsche Lufthansa,D-585
Breguet 14,Lignes Aeriennes Latecoere,F-AGBN
Fairchild FC-2,Colonial Air Transport,
Farman F-121 Jabiru,CIDNA,
Junkers F-13,Aero O-Y,K-SALD
Douglas M-4,National Air Transport,
Breguet 14,Aeropostale,
Breguet 14,Aeropostale,F-AFGS
Lat̩co̬re 23,Latecoere Airlines,
Fairchild FC-2,Colonial Western Airlines,
Latecoere 25,Aeropostale,
Breguet 14,Aeropostale,F-AHEQ
Breguet 14,Aeropostale,
Breguet 14,Aeropostale,F-AEEH
Boeing 40,Boeing Air Transport,NC280
,,
Farman F-60 Goliath,Air Union,F-AEFC
Boeing 40,Boeing Air Transport,
Rohrbach Roland,Iberia Airlines,M-CCCC
Latecoere 26,Aeropostale,F-AIMQ
Ford 4,Ford Air Freight Inc.,NC1492
Junkers F-13,Deutsche Lufthansa,D-583
AEGK,Deutsche Lufthansa,D-74
Douglas M-4,National Air Transport,
Junkers F-13,Aero O-Y,K-SALB
Vickers 74 Vulcan,Imperial Airways,G-EBLB
Fokker (KLM) F.III,KLM Royal Dutch Airlines,H-NABR
