index;cn/In
2658;126/127
2659;1-feb
2660;19106/502
2661;47100/153
2662;1351306
2663;19106/683
2664;18959
2665;513
2666;
2667;47075/166
2668;
2669;21504
2670;225/224
2671;211
2672;87304305
2673;4105
2674;1115
2675;6008
2676;18916/455
2677;
2678;46146
2679;
2680;151/149
2681;BA-176
2682;
2683;
2684;56
2685;20182
2686;21904
2687;9346502
2688;259
2689;2068
2690;210
2691;
2692;150
2693;46700/14
2694;19368/640
2695;14910/26355
2696;21901
2697;NA741/25213
2698;43718/371
2699;3351406
2700;18838
2701;
2702;444
2703;
2704;069/84
2705;350202
2706;1498
2707;11015
2708;22490
2709;U-125
2710;77303405
2711;1704
2712;
2713;1905
2714;77303610
2715;
2716;11057
2717;
2718;
2719;19376/661
2720;19638/3
2721;
2722;
2723;
2724;30195
2725;4393
2726;46704/29
2727;
2728;
2729;138
2730;266
2731;27242
2732;
2733;19268/544
2734;186009005
2735;184007703
2736;U-41
2737;
2738;44069/396
2739;4225
2740;9221122
2741;13078
2742;380
2743;1999
2744;
2745;10507
2746;20304
2747;11850
2748;
2749;181003304
2750;4527
2751;
2752;95
2753;300-6126
2754;4422
2755;10422
2756;20063/789
2757;47400/443
2758;19819
2759;
2760;
2761;
2762;175
2763;
2764;73A-048
2765;4106
2766;
2767;15551/26996
2768;
2769;
2770;
2771;
2772;4234
2773;
2774;1141
2775;154
2776;
2777;25452/14007
2778;9465
2779;19747/29
2780;500-0108
2781;20296
2782;20306/791
2783;45818/242
2784;1125
2785;
2786;9131119
2787;47056/89
2788;
2789;27307606
2790;351002
2791;20074
2792;
2793;140
2794;
2795;83
2796;
2797;184007104
2798;
2799;11058
2800;2189
2801;
2802;43080
2803;1590
2804;D-85
2805;43520/222
2806;
2807;110021
2808;
2809;10701
2810;10404
2811;85
2812;6054
2813;21
2814;
2815;
2816;
2817;12807
2818;27-2081
2819;
2820;190
2821;1625
2822;20443/837
2823;
2824;10403
2825;U- 61
2826;19730
2827;1087
2828;
2829;
2830;9442037
2831;3161
2832;439
2833;18767/376
2834;
2835;19798/608
2836;9330230
2837;31502
2838;
2839;
2840;21
2841;9350702
2842;4292
2843;11039
2844;53
2845;142
2846;19525/439
2847;14067
2848;
2849;328
2850;47457/620
2851;
2852;
2853;6142
2854;97305708
2855;9431736
2856;67302707
2857;
2858;27-3960
2859;
2860;440
2861;
2862;18020/165
2863;3351001
2864;125
2865;
2866;439
2867;10280
2868;
2869;4682
2870;1683
2871;
2872;110011
2873;184007505
2874;
2875;43519/221
2876;18143/482
2877;
2878;36326
2879;66600201
2880;B131
2881;14803061
2882;24
2883;186009201
2884;20700089
2885;
2886;67302501
2887;
2888;18821
2889;
2890;
2891;1540
2892;
2893;30090
2894;
2895;19837/499
2896;428
2897;450
2898;2156
2899;19677/73
2900;57310108
2901;
2902;213
2903;102
2904;1007
2905;14
2906;
2907;19
2908;
2909;
2910;
2911;189001605
2912;
2913;19715/642
2914;27344
2915;377
2916;
2917;
2918;6259
2919;6257
2920;83
2921;4408
2922;
2923;37308504 / 9030713
2924;47649741 / 2320
2925;20982/1087
2926;67
2927;
2928;18203/518
2929;45467/970
2930;45611/48
2931;
2932;231
2933;17671/48
2934;
2935;4593
2936;110004
2937;10142
2938;
2939;
2940;4361
2941;21204
2942;
2943;262
2944;47309604
2945;20763
2946;27-82
2947;7462
2948;24B-192
2949;86601203
2950;46148/553
2951;463
2952;372
2953;13253
2954;10147
2955;190013167
2956;183006703
2957;13154
2958;13475
2959;4491
2960;46050/430
2961;1076
2962;
2963;19643/11 / 20400/157
2964;486
2965;9010310
2966;47393/608
2967;4958
2968;
2969;143
2970;
2971;6344307
2972;18579/332
2973;61427
2974;51903
2975;
2976;110057
2977;110083
2978;4280
2979;27307505
2980;
2981;6069
2982;264
2983;45534
2984;6096
2985;
2986;
2987;230
2988;
2989;
2990;
2991;
2992;SH-1850
2993;21
2994;1441
2995;185
2996;196
2997;540
2998;45359/868
2999;
3000;8350605
3001;
3002;46152/550
3003;
3004;
3005;3
3006;
3007;
3008;388
3009;20972/1096
3010;19736/696
3011;546
3012;155
3013;
3014;
3015;54
3016;20585/306
3017;
3018;27307602
3019;185-5225
3020;4837
3021;
3022;200
3023;45880/275
3024;184
3025;278
3026;
3027;
3028;183
3029;19959/124
3030;
3031;61P0245041
3032;42958
3033;110128
3034;19301
3035;U037
3036;20142/253
3037;
3038;
3039;
3040;46904
3041;
3042;11993
3043;1744
3044;
3045;
3046;8350501
3047;
3048;10235
3049;
3050;
3051;
3052;19363/623
3053;
3054;402B0930
3055;43565/243
3056;
3057;19464
3058;
3059;76A-169
3060;
3061;47197
3062;
3063;1032
3064;22557
3065;1195
3066;
3067;541
3068;
3069;
3070;215
3071;187009803
3072;297
3073;
3074;18
3075;
3076;10328
3077;
3078;
3079;19688/589 / 
3080;A415
3081;12050
3082;10572
3083;9431335
3084;
3085;613
3086;97305504
3087;
3088;
3089;
3090;
3091;46020/415
3092;
3093;469
3094;
3095;19053
3096;
3097;61P-0501-206
3098;387
3099;
3100;20485/277
3101;21059538
3102;
3103;47227/334
3104;442
3105;45972/357
3106;
3107;67302207
3108;760513
3109;61-0008
3110;19
3111;10570
3112;1G159-02
3113;100-010
3114;48
3115;101
3116;10456
3117;16681/33429
3118;45108/770
3119;
3120;
3121;
3122;11094
3123;41
3124;20886/1061
3125;2172
3126;921001
3127;9410233
3128;48530
3129;U20604755
3130;186009402
3131;47
3132;32R-7885024
3133;1166
3134;61426
3135;329
3136;3809
3137;46510/22
3138;
3139;253
3140;88
3141;229
3142;572
3143;U- 54
3144;245
3145;11055
3146;402B1034
3147;195
3148;17062
3149;19107/507
3150;14125
3151;1542
3152;110
3153;760509
3154;515
3155;
3156;
3157;35-029
3158;2351516 / 05040
3159;1702
3160;9346407
3161;3351003
3162;415
3163;77303602
3164;21
3165;18887/431
3166;44287
3167;47667/776
3168;238
3169;17872/342
3170;122
3171;20700326
3172;
3173;45919/312
3174;
3175;
3176;
3177;519
3178;46929/107
3179;630
3180;
3181;310R0005
3182;
3183;9431136
3184;2016
3185;
3186;20275/844
3187;46910/182
3188;
3189;294
3190;2810
3191;14114
3192;10853
3193;55
3194;11071
3195;39
3196;474
3197;
3198;19817/537
3199;45/3N
3200;545
3201;9840959
3202;BB-0245
3203;
3204;
3205;20262/830
3206;11004
3207;4659
3208;28-7305503
3209;760008
3210;
3211;695
3212;19111/297
3213;3770
3214;19279/288
3215;1568
3216;208
3217;147001642
3218;165
3219;25-271
3220;4520
3221;118
3222;9721753
3223;TC-228
3224;9910403
3225;
3226;45724/22
3227;110-242
3228;355
3229;402B0817
3230;
3231;317405138
3232;45598/57
3233;
3234;30203
3235;277
3236;644
3237;35-196
3238;1161
3239;4357
3240;1169
3241;353
3242;4350
3243;4404
3244;4861
3245;4569
3246;4128
3247;
3248;142
3249;1347710
3250;
3251;4406
3252;6281
3253;279
3254;21773/366
3255;9703
3256;45085/714
3257;
3258;LW-181
3259;
3260;1030
3261;112
3262;U-101
3263;
3264;7660402
3265;310R0007
3266;
3267;62012
3268;110-144
3269;
3270;4074
3271;
3272;
3273;18340
3274;7306007
3275;
3276;
3277;19395
3278;23-068
3279;238
3280;12209
3281;18235
3282;212
3283;4830
3284;327
3285;457
3286;
3287;
3288;4792
3289;147001141
3290;701
3291;9884
3292;1560
3293;
3294;34
3295;10557
3296;
3297;327
3298;11743
3299;47621/729
3300;
3301;19939/151
3302;47309204
3303;9511539
3304;110206
3305;9431236
3306;4623
3307;
3308;4594
3309;24-146
3310;11141
3311;404-0680
3312;2607
3313;416
3314;47622/753
3315;
3316;81A-480
3317;746
3318;43683/305
3319;48047/998
3320;AF-381
3321;
3322;
3323;1481
3324;609
3325;
3326;
3327;781101
3328;
3329;19556/130
3330;
3331;47821/320
3332;57310202
3333;140
3334;
3335;
3336;45889/291
3337;19251
3338;44168/431
3339;105
3340;568
3341;21635/365
3342;8040104
3343;D-4114
3344;17776
3345;11078
3346;212
3347;
3348;4645
3349;2170
3350;
3351;760038
3352;15
3353;4033
3354;
3355;20907
3356;1258
3357;
3358;21347/1282
3359;536
3360;17723/100
3361;404--425
3362;4037536
3363;19457/518
3364;1636
3365;
3366;6414038
3367;
3368;
3369;19658/47
3370;501
3371;781120 / 17113
3372;
3373;160
3374;300-6065
3375;249
3376;25B-119
3377;
3378;46962/238
3379;
3380;459
3381;
3382;72503
3383;
3384;30575
3385;
3386;4607
3387;713
3388;32-7500008
3389;AC-449
3390;
3391;
3392;63
3393;
3394;31-7852161
3395;5208
3396;189001401
3397;327A
3398;46010/406
3399;757
3400;21603/1389
3401;4693
3402;
3403;30761
3404;395
3405;47025/106
3406;
3407;25-030
3408;BB-0038
3409;558
3410;1755
3411;9320628
3412;
3413;
3414;125
3415;293
3416;20227
3417;1141
3418;11132
3419;47196/278
3420;
3421;185-5160
3422;394
3423;
3424;4694
3425;
3426;22607/775
3427;61-770
3428;22520/47
3429;404-0006
3430;745
3431;
3432;31-7752118
3433;4333
3434;BB-0320
3435;60630
3436;20559/186
3437;274
3438;2169 / 
3439;21734/566
3440;
3441;518
3442;9131918
3443;
3444;110026
3445;512
3446;1716
3447;SH3074
3448;22775
3449;632
3450;
3451;21381
3452;11090
3453;20820 / 47645
3454;
3455;18707/349
3456;213
3457;37308704
3458;55
3459;15745/27190
3460;4352308
3461;36036
3462;218/58N
3463;67310607
3464;TC-240
3465;4342002
3466;
3467;500-0237
3468;404-0685
3469;
3470;46871
3471;4324
3472;
3473;444
3474;BL-52
3475;
3476;10559
3477;402B-0852
3478;24-287
3479;110088 / 110170
3480;
3481;22636
3482;1034
3483;23-085
3484;
3485;110-013
3486;
3487;
3488;300-6037
3489;
3490;669
3491;
3492;38
3493;10453
3494;
3495;402A-0038
3496;12938
3497;12485
3498;
3499;U187 /
3500;21295/484
3501;756
3502;402C-06550
3503;303
3504;1G168-04
3505;45754/224
3506;
3507;500-0032
3508;
3509;115
3510;243
3511;34
3512;83412354
3513;7340106
3514;20811
3515;110294
3516;446
3517;770706
3518;110-365
3519;
3520;
3521;317
3522;376
3523;338
3524;22556/1793
3525;1044
3526;27308110
3527;188011102
3528;
3529;1121
3530;3109
3531;110341
3532;497
3533;
3534;63971
3535;LD-231
3536;
3537;33448421
3538;
3539;693
3540;21777/1487
3541;22805/564
3542;87304104
3543;17237/4
3544;4044
3545;11165
3546;257133
3547;
3548;21810/604
3549;20611/894
3550;
3551;10118
3552;319
3553;23253 /
3554;
3555;219
3556;
3557;501-0022
3558;157
3559;181
3560;20844/1065
3561;110-063
3562;21473/330
3563;
3564;311
3565;
3566;45067/709
3567;1163
3568;20783/230
3569;346
3570;20374/838
3571;
3572;22033/743
3573;U-22
3574;17931
3575;67
3576;57314106
3577;47309/393
3578;
3579;U156
3580;1901708
3581;208-00017
3582;402B-0304
3583;110090
3584;371
3585;32936
3586;9230923
3587;192
3588;10501
3589;24-265
3590;208-00006
3591;221
3592;
3593;4898
3594;21191/450
3595;
3596;46058/433
3597;SH-1978
3598;13658
3599;40
3600;425
3601;20096/190
3602;1547
3603;1045
3604;20226/168
3605;7304108
3606;
3607;110370
3608;108/15N
3609;400
3610;1400103
3611;
3612;
3613;22414/1748
3614;20845/1066
3615;4161
3616;780
3617;45078
3618;
3619;1061
3620;9321728
3621;414A0242
3622;19
3623;
3624;10659
3625;635
3626;18600/639
3627;248 /
3628;60955
3629;60482
3630;9492
3631;32186
3632;785
3633;3194
3634;10277
3635;20700603
3636;4410201
3637;2596
3638;47356/470 /
3639;402-0130
3640;20351/127
3641;3076
3642;1028
3643;120019
3644;SH-1851
3645;4391
3646;780905
3647;20499/284
3648;141
3649;28-7890344
3650;63457
3651;62327
3652;700
3653;10335
3654;
3655;
3656;MJ004
3657;
3658;63145
3659;37308907
3660;21183
3661;14056
3662;65
3663;19822/726
3664;404
3665;
3666;TC-327 /
3667;208-00106
3668;208-00044
3669;55-070
3670;110-262
3671;
3672;
3673;160
3674;9901
3675;18136/475
3676;
3677;24-118
3678;
3679;4020067
3680;LJ-0793
3681;47741/836
3682;19209/510
3683;TC-202
3684;404-0612
3685;401712
3686;271
3687;3344942
3688;26324
3689;327540064
3690;363
3691;474
3692;76
3693;501-0203
3694;19
3695;14105
3696;5805
3697;9241824
3698;10357
3699;1637
3700;4325
3701;
3702;16687
3703;23-013
3704;22602
3705;187009901
3706;48090/1040
3707;31-7405489
3708;22267/685
3709;25290
3710;
3711;115
3712;21061324
3713;10689
3714;419
3715;46
3716;9346702
3717;310N0078
3718;SH-1971
3719;292
3720;45726/36
3721;UB-58
3722;208-00059
3723;2029
3724;AC-457
3725;22171/488
3726;20522/855
3727;
3728;E-2027
3729;10548
3730;217
3731;SH-3719
3732;
3733;120-033
3734;1588
3735;402C0642
3736;31-7752077
3737;31-7652151
3738;459
3739;22635/774
3740;36-041
3741;246
3742;77A254
3743;9531442
3744;237
3745;421A0002
3746;AC-500
3747;AC-622
3748;1351501
3749;20930/1044
3750;110-402
3751;546
3752;282-68
3753;
3754;18999/240
3755;45859/253
3756;21541
3757;
3758;6154
3759;701SA
3760;851422
3761;7007
3762;35-442
3763;6341406
3764;20209
3765;28
3766;32-301
3767;23838
3768;
3769;10443
3770;282-68
3771;3720
3772;48050/989
3773;
3774;9
3775;186
3776;39
3777;44615/541
3778;18881/436
3779;18502033
3780;9620247
3781;245
3782;
3783;3708
3784;283
3785;10452
3786;770801
3787;
3788;2159
3789;110-192
3790;229
3791;20750/992
3792;215
3793;60925
3794;1052
3795;1789
3796;23914/1456
3797;
3798;18092/431
3799;32-40432
3800;19630/746
3801;10173
3802;20481/271
3803;11059
3804;67302209
3805;288190170
3806;110226
3807;
3808;TC-334E
3809;670
3810;790323
3811;45203/776
3812;
3813;83413388
3814;19168/508
3815;782SA
3816;19646/15
3817;2139
3818;23867/1603
3819;1582
3820;19344
3821;4124
3822;18607
3823;10325
3824;730
3825;19572/687
3826;80A-408
3827;21828/408
3828;402B0527
3829;19875/89
3830;44642/586
3831;25290
3832;11060
3833;604
3834;47192/287
3835;
3836;19354/503
3837;532
3838;819
3839;215
3840;1051
3841;110330
3842;U048
3843;33070
3844;46107/498
3845;676
3846;BA-746
3847;2850324
3848;14104
3849;329
3850;404-0418
3851;1804
3852;10559
3853;208
3854;
3855;46618
3856;8805
3857;366
3858;231
3859;
3860;
3861;47887/125
3862;
3863;180
3864;SH-3083
3865;699
3866;583
3867;177RG-0376
3868;37309006
3869;LJ507
3870;10207
3871;317952021
3872;3850453
3873;21006
3874;56
3875;345
3876;B-049
3877;46852/125
3878;17552/161
3879;23884/1643
3880;
3881;
3882;8052
3883;AC-481
3884;
3885;439
3886;1705
3887;17341/31
3888;208-00115
3889;402C-0638
3890;7309
3891;23440153
3892;19514/597
3893;23795/1319
3894;
3895;400
3896;767
3897;389
3898;551-0245
3899;97305602
3900;
3901;11223
3902;19035/272
3903;4129
3904;
3905;69
3906;296
3907;3187
3908;24
3909;776
3910;77310801
3911;
3912;217/57N
3913;2351703
3914;163
3915;208-00091
3916;23-067
3917;268
3918;19276/592
3919;1567
3920;103
3921;208B-0169
3922;208B-0172
3923;10206
3924;79
3925;66
3926;208-00043
3927;
3928;
3929;1394
3930;58-1617
3931;1134
3932;7406
3933;83489670
3934;384
3935;25-108
3936;536
3937;131
3938;4589
3939;25325
3940;U197
3941;
3942;43739/279
3943;101
3944;24466
3945;500-0283
3946;D61
3947;UC-46
3948;349
3949;570
3950;BAC 234
3951;20700775
3952;21060195
3953;857
3954;6
3955;
3956;LJ-0448
3957;9431036
3958;
3959;UC- 5
3960;23338
3961;
3962;31
3963;317612024
3964;20266/760
3965;229
3966;1811379
3967;110368
3968;500-0254
3969;
3970;24758 / 23189
3971;45838/104
3972;15805/33553
3973;9631449
3974;0B-3420
3975;47641/746
3976;303
3977;
3978;47240/346
3979;T210-63675
3980;1133
3981;21157 / 45708/77
3982;19377/666
3983;NSP4/2022
3984;208-00104
3985;264
3986;25-172
3987;258/78N
3988;4341
3989;23310/1145 / AC-683
3990;4724
3991;31-7952001
3992;291
3993;832
3994;E-2061
3995;22742/875
3996;47720/846
3997;402B-0859
3998;25095
3999;4833
4000;25D-258
4001;402C0043
4002;4754
4003;
4004;27307910
4005;
4006;402B0827
4007;26643
4008;6108448162153/0151
4009;120-218
4010;8196
4011;404-0657
4012;10399
4013;20700463
4014;26775
4015;97
4016;93494835
4017;24628/283
4018;44
4019;3099
4020;45132/801
4021;7300304
4022;94
4023;606
4024;232
4025;U226
4026;45982/345
4027;271
4028;23-045
4029;2060183
4030;220
4031;676
4032;185008301
4033;3240115
4034;10119
4035;21497
4036;2009
4037;
4038;SH-1975
4039;752
4040;120-077
4041;SU002
4042;178
4043;5029
4044;98
4045;7345407
4046;AN24021
4047;30268
4048;4927
4049;402-0002
4050;28181
4051;1017
4052;1391
4053;4192
4054;
4055;9520841
4056;110-314
4057;208B-0058
4058;
4059;
4060;2580
4061;
4062;25471
4063;17307204
4064;110473
4065;31-7652100
4066;RJ-57
4067;7353
4068;53003
4069;31-7300902
4070;22390
4071;UC-135
4072;21059763
4073;15
4074;43-35632
4075;
4076;110-005
4077;3527
4078;9
4079;45923/383
4080;
4081;22570
4082;452
4083;683
4084;11235
4085;1403
4086;18715/364
4087;800326
4088;77310810
4089;2007
4090;110- 355
4091;125
4092;
4093;141
4094;BA-308
4095;10499
4096;3985
4097;22059/631
4098;234
4099;U-185
4100;25-191
4101;TC-1382
4102;402-0215
4103;21188/444
4104;AN12145
4105;27-7405249
4106;60804
4107;SH-1918
4108;1347903
4109;
4110;77A-222
4111;434
4112;347607
4113;392
4114;25-099
4115;1837
4116;25
4117;1014
4118;438
4119;2116644
4120;405
4121;AC-545
4122;49868
4123;240
4124;20191
4125;316
4126;15908/32656
4127;AF-461
4128;10533
4129;
4130;1488
4131;44656/619
4132;22436
4133;
4134;4624
4135;21737/362
4136;3952
4137;108807113
4138;2905
4139;N-013
4140;IAJ005-18
4141;379
4142;OD-3430
4143;42-8001024
4144;402C0633
4145;53483299
4146;
4147;9631848
4148;187010301
4149;20700453
4150;24913
4151;6106 / 6168
4152;864
4153;10649
4154;46924
4155;21050/1108
4156;2923
4157;210
4158;1620
4159;110391
4160;9862
4161;11
4162;SH-1961
4163;903
4164;
4165;413
4166;111
4167;11393
4168;TH468
4169;BB-0308
4170;110-037
4171;26348
4172;TT-527
4173;1484
4174;4700/83
4175;48495/461
4176;765SA
4177;14102
4178;20961/375
4179;
4180;69
4181;U-228
4182;9
4183;43825/315
4184;18876/217
4185;771
4186;404-0456
4187;805
4188;391
4189;SU035
4190;11131
4191;
4192;402C0501
4193;720396S
4194;E-3215
4195;24805/1878
4196;SH-1967
4197;7029
4198;LJ718
4199;46127
4200;902509
4201;9541944
4202;105
4203;5340120
4204;76A-163
4205;42235
4206;
4207;4
4208;49355
4209;408
4210;421B-0569
4211;1617
4212;49849/1772
4213;
4214;4016557
4215;
4216;706
4217;398
4218;393 / 2030
4219;42
4220;4761
4221;350
4222;12903
4223;89A801
4224;11380
4225;LJ-0445
4226;41016
4227;24-248
4228;13480002
4229;9640950
4230;349
4231;49439
4232;21763/571
4233;AT-033
4234;4351
4235;4432
4236;43089
4237;J-51
4238;632
4239;650-0200
4240;MA036
4241;596
4242;1D-25 / 4322
4243;2773
4244;195
4245;436
4246;6
4247;
4248;730
4249;580
4250;31-7405417
4251;143
4252;110-072
4253;2111
4254;11752
4255;
4256;86A-740
4257;TC-401
4258;25D223
4259;10597
4260;317652170
4261;10577
4262;
4263;42
4264;11092
4265;47590
4266;328006077
4267;
4268;2152
4269;9311326
4270;110-375
4271;58-1098
4272;
4273;583
4274;495
4275;52089
4276;321268
4277;127
4278;23699/1452
4279;538
4280;36
4281;229
4282;4826
4283;9..1337
4284;34346
4285;126
4286;OA-3460
4287;13321
4288;3301
4289;11070
4290;4293
4291;
4292;1G217-55
4293;1340302
4294;401
4295;30824
4296;55
4297;9140220
4298;U-178
4299;835
4300;49426 / 0196
4301;
4302;21575
4303;402C-1019
4304;918
4305;12476
4306;187
4307;20758/322
4308;104
4309;26074/2376
4310;5203
4311;390
4312;45742/26
4313;208B-0236
4314;35-058
4315;208B-0249
4316;17271039
4317;3520
4318;392
4319;790316
4320;225
4321;435
4322;31-77552121
4323;45929/367
4324;11806
4325;208B-0065
4326;LD-249
4327;450/395
4328;35-583
4329;607
4330;221
4331;1768
4332;CC-827B /
4333;83
4334;22538
4335;3801
4336;110-256
4337;25659
4338;31-205
4339;47321
4340;55
4341;1G195-47
4342;1G259-18
4343;A53-2-326
4344;4308068
4345;432
4346;328106063
4347;13
4348;32R7680348
4349;275
4350;473
4351;19525
4352;393
4353;1G153-21
4354;23849
4355;1735
4356;110310
4357;120-122
4358;SH-1839
4359;8014
4360;421C-0265
4361;306
4362;14305
4363;3502
4364;402B-0423
4365;20174
4366;AC-629B
4367;573101103
4368;21554/933
4369;98522942
4370;38
4371;158/28N
4372;95489
4373;172RG0395
4374;
4375;208B-0214
4376;10619
4377;22985
4378;3503
4379;33171
4380;19584/663
4381;23386/1143
4382;63383
4383;76A-0164
4384;UE-119
4385;77303309
4386;1080
4387;24609
4388;207
4389;8142
4390;2301
4391;436
4392;257196
4393;
4394;20800051
4395;45882/282
4396;338
4397;22206/31
4398;500-0111
4399;
4400;62
4401;714
4402;550-0564
4403;
4404;402812
4405;19072/86
4406;25D-243
4407;
4408;402B-1201
4409;U20606794
4410;20696/347
4411;93498967
4412;8223
4413;17702266
4414;STFA001
4415;194
4416;126
4417;582
4418;47377/496
4419;544
4420;33442234
4421;21079/1131
4422;70-1186 / 70-1346
4423;46685/284
4424;1
4425;49714/1524
4426;290
4427;942703
4428;4473
4429;20083/153
4430;734
4431;44663/630
4432;10433
4433;427
4434;10389/120
4435;4597
4436;32
4437;83414451
4438;86A-742
4439;110048
4440;U20603872
4441;19109
4442;25489/505
4443;74
4444;1347703
4445;9,77305E+12
4446;1025
4447;31-7952246
4448;19582/639
4449;9711252
4450;11440
4451;110313
4452;421C02172
4453;6344506
4454;20054/718
4455;22748/555/1023413428
4456;
4457;1G221-39
4458;UC-87 /
4459;4072
4460;23916/187
4461;208B-0199
4462;93492278
4463;746
4464;152/26N
4465;9173
4466;
4467;3402
4468;45901/293
4469;528
4470;35-388
4471;208B-0179
4472;678
4473;120257
4474;126
4475;110458
4476;1769
4477;325
4478;
4479;21013/393
4480;211
4481;208B-0089
4482;500-0135
4483;
4484;37308502
4485;5161
4486;10365
4487;208B-0455
4488;10424
4489;9510640
4490;4829
4491;2048
4492;
4493;27288/2577
4494;280
4495;6
4496;10670
4497;506
4498;
4499;11440
4500;27307610
4501;32-7340021
4502;10415
4503;250
4504;31-033B
4505;41
4506;492
4507;22487/605
4508;45942/349
4509;8220
4510;18053048
4511;21062072
4512;550-0013
4513;820
4514;66360
4515;8217
4516;735
4517;89A-813
4518;214
4519;208B-0432
4520;BB-218
4521;47446/561
4522;5067
4523;54
4524;9441037
4525;
4526;208B-0504
4527;4516003
4528;110285
4529;TC-359
4530;78A-281
4531;402C0515
4532;4520422606
4533;28556/2851
4534;4729
4535;36572094888
4536;19882/175
4537;178
4538;208B-0013
4539;5342801
4540;871919
4541;10576
4542;47069/175
4543;P-130
4544;3341605
4545;297
4546;AN32052
4547;578
4548;208B-0142
4549;208B-0193
4550;19843/735
4551;340B-377
4552;22288/1712
4553;708
4554;1203
4555;53-13
4556;21622/1431
4557;23041/962
4558;007H03
4559;9431835
4560;
4561;
4562;TC-233
4563;2735
4564;63470096
4565;306-3
4566;83481440
4567;SH1946
4568;1997
4569;AC-651B
4570;110343
4571;8075/2017
4572;3054
4573;UE-238
4574;39
4575;
4576;402C0512
4577;710
4578;402C0244
4579;13143
4580;10476
4581;720
4582;10408
4583;48448/465
4584;595
4585;3781
4586;8345502
4587;223/63N
4588;
4589;E1007
4590;550
4591;27307901
4592;1977
4593;18369/125
4594;9721053
4595;120076
4596;284
4597;20562
4598;8345506
4599;207-00105
4600;21119
4601;208B-0061
4602;
4603;501-0058
4604;2028
4605;10594
4606;415
4607;4342510
4608;
4609;3309
4610;4561
4611;4839
4612;10508
4613;17940/355
4614;32963
4615;763
4616;20800235
4617;
4618;3340909
4619;761
4620;1037
4621;U-205
4622;90A-846
4623;108
4624;11831
4625;724
4626;24-270
4627;25378/2732
4628;777
4629;48409/490
4630;694
4631;270
4632;912620
4633;49163/1111
4634;
4635;473
4636;2810
4637;110210
4638;73
4639;U- 45
4640;45499/1011
4641;22168/1770
4642;25064
4643;3213100
4644;208B-0341
4645;
4646;95
4647;110416
4648;LJ-251
4649;8091
4650;UE-347
4651;48468/518
4652;53536/2160
4653;9331730
4654;20389/251
4655;805
4656;404-0690
4657;32-1261
4658;1806
4659;26
4660;110002
4661;3217
4662;31-8352039
4663;28108
4664;35-189
4665;62
4666;60
4667;24542/282
4668;U20602610
4669;
4670;47418/570
4671;12
4672;208-00037
4673;1083800305
4674;31-7405210
4675;20700347
4676;851429
4677;525-0136
4678;31-7300948
4679;3924
4680;2030
4681;46890/77
4682;35-194
4683;208B-0220
4684;22480/448
4685;36
4686;4,52042E+12
4687;796
4688;
4689;110-455
4690;213
4691;SH-3763
4692;861620
4693;
4694;426
4695;9340706
4696;86
4697;53077/1995
4698;
4699;U20604099
4700;45947/341
4701;23060/1069
4702;9620847
4703;12344
4704;624
4705;314
4706;8346004
4707;ZZX3201
4708;208-00311
4709;55-050
4710;21447/508
4711;703
4712;35-646
4713;694
4714;465-5
4715;UC-133
4716;834
4717;
4718;SH-3064
4719;31-8152180
4720;10535
4721;31-7652172
4722;
4723;6708
4724;8027
4725;912
4726;383
4727;163
4728;22280/671
4729;154
4730;12475
4731;5168
4732;203
4733;4073
4734;654
4735;
4736;AB10-454
4737;7952056/79951271
4738;
4739;208-00082
4740;31-8152136
4741;481
4742;31-8252024
4743;208B-0709
4744;32984
4745;BB-47
4746;
4747;8275013
4748;47501/571
4749;
4750;SH-1953
4751;208B-0192
4752;5991
4753;335-0064
4754;86
4755;187010602
4756;28023/1099
4757;27312009
4758;3406
4759;TC-255
4760;PESA001
4761;463
4762;27
4763;LJ-165
4764;13863
4765;19055
4766;BB-158
4767;201
4768;AT-469
4769;35-445
4770;N24A-73
4771;SH3723
4772;
4773;25321/2113
4774;3684/3420
4775;86A-738
4776;UC-142
4777;254
4778;10609
4779;303
4780;501-0150
4781;
4782;96168
4783;208B-0580
4784;C-006
4785;10412
4786;9740856
4787;347002
4788;233
4789;86A-735
4790;760341
4791;AJE 001-10
4792;43451530
4793;32-7840168
4794;63
4795;2477
4796;1AJ005-22
4797;271
4798;25-053
4799;402B1014
4800;C033
4801;28142/718
4802;24602/365
4803;22332/169
4804;21873/41
4805;892401
4806;11443
4807;861705
4808;17268521
4809;90A-866
4810;53009/ 525A-0036
4811;810
4812;20800088
4813;AT-043
4814;TC-250
4815;
4816;45108
4817;420
4818;182005301
4819;25-088
4820;1AJ003-03
4821;E-3291
4822;22063/432
4823;208B0788
4824;1023411375
4825;208B-0689
4826;24-247
4827;730208
4828;861618
4829;560-0077
4830;2167
4831;31-7952127
4832;5414
4833;4702
4834;120-024
4835;752
4836;24403/1706
4837;511
4838;20700204
4839;A12244
4840;19692/498
4841;35-543
4842;91A-871
4843;4342610
4844;ZR726001
4845;M-3719
4846;1G137-53
4847;
4848;208B-0049
4849;912537
4850;3152
4851;AC-620
4852;23308/127
4853;U2060610
4854;2508
4855;T20603622
4856;
4857;266
4858;25307/2135
4859;49522/17023
4860;851402
4861;21843/386
4862;458
4863;1782
4864;
4865;
4866;31-7305093
4867;5041
4868;1006 / 24635/258
4869;310I0145
4870;19335
4871;903
4872;860
4873;760100
4874;828
4875;
4876;51483203027
4877;5265
4878;70802
4879;
