index;cn/In
795;1272
796;11714
797;42975
798;9214
799;1300
800;
801;12544
802;4549
803;4829
804;42986
805;
806;
807;16091/32839
808;4087
809;27290
810;
811;
812;10471
813;AAC281
814;12971
815;15659/27104
816;AAC311
817;284
818;4873
819;11662
820;
821;20122
822;
823;20590
824;113
825;
826;
827;22427
828;25436/13991
829;9249
830;1365
831;42-68715
832;
833;4805
834;9378
835;2026
836;4315
837;34373
838;
839;3106
840;12014
841;3274
842;
843;
844;19979 / 9503
845;13508
846;25479
847;
848;25251
849;13873/25318
850;18386
851;2944
852;41003
853;10439
854;
855;15129/26574
856;4792
857;15131/26576
858;20488
859;2450
860;
861;
862;1303
863;9066
864;
865;18-2248
866;2029
867;13389
868;10658
869;18324
870;18380
871;AAC136
872;
873;3112
874;2045
875;91
876;9887
877;AAC323
878;1219
879;1366
880;
881;1280
882;
883;19639
884;19559
885;18423801
886;2935
887;SH-38C
888;SH-48C
889;10314/DC45
890;
891;12788
892;42875/17
893;10317
894;42930/45
895;
896;
897;43046/92
898;AAC401
899;12792
900;2028
901;18423509
902;6065
903;
904;
905;
906;7453
907;10677
908;32698
909;
910;4175
911;1408
912;42972
913;148
914;12968
915;275
916;4735
917;4092
918;
919;15901/32649
920;16850/33598
921;1349
922;2533
923;7330
924;4312
925;7
926;
927;12527
928;
929;AAC223
930;43154
931;4185
932;18390
933;35966/DO360
934;11658
935;6252
936;166
937;229
938;2058
939;
940;42932
941;4058
942;6341
943;2938
944;14003/25448
945;1303
946;6675
947;42871/12
948;16992/34254
949;4
950;43119/111
951;9158
952;19113
953;
954;6246
955;SH-02C
956;22355
957;6
958;
959;16383/33131
960;19985
961;10194
962;9165
963;12420
964;9999
965;SH-52C
966;2083
967;1128
968;10406
969;
970;11800
971;2003
972;6538
973;12775
974;
975;4396
976;
977;13807
978;12894
979;18348
980;4256
981;1496
982;12587
983;10181
984;1301
985;13777
986;
987;19584
988;14145/25590
989;1253
990;
991;20208
992;2528 /
993;3708
994;7464
995;
996;199
997;15374/26819
998;13308
999;20576
1000;1965
1001;2194
1002;1316
1003;2382
1004;5
1005;16743/33491
1006;12162
1007;
1008;30506
1009;2541
1010;9350
1011;2558
1012;2936
1013;22463
1014;2260 /
1015;33100
1016;9971
1017;12739
1018;3076
1019;12355
1020;
1021;14600/26045
1022;4518
1023;11725
1024;7445
1025;2939
1026;2546
1027;18365 /
1028;4304
1029;13462
1030;10391
1031;42895/58
1032;4241
1033;9201
1034;22354
1035;22347
1036;4841
1037;2556
1038;11721
1039;10241
1040;3089
1041;
1042;
1043;10046
1044;
1045;10574
1046;13396
1047;12725
1048;9134
1049;12782
1050;1417
1051;19423
1052;3
1053;12826
1054;
1055;
1056;4314
1057;
1058;32973
1059;22582
1060;9156
1061;22496
1062;1546
1063;42937
1064;42990
1065;10270
1066;42910
1067;35971
1068;13824
1069;20359
1070;13769
1071;
1072;2962
1073;12738
1074;
1075;16538/33286
1076;2636
1077;2011
1078;9813
1079;10624
1080;13311
1081;1321
1082;10562
1083;20245
1084;9158
1085;12186
1086;155
1087;2506
1088;9161
1089;10518
1090;19005
1091;19711
1092;15992/32740
1093;14037/25482
1094;13572
1095;16100/32848
1096;3084
1097;14604/2604
1098;20543
1099;4432
1100;27322
1101;12855
1102;13027
1103;4017
1104;15782/32530
1105;43102
1106;9144
1107;10
1108;
1109;12482
1110;
1111;42992
1112;
1113;7400
1114;10396
1115;9073
1116;43173
1117;3768
1118;7341
1119;12291
1120;1957
1121;20229
1122;25559
1123;
1124;10368
1125;1927
1126;
1127;134
1128;17011/34274
1129;
1130;42979
1131;10062
1132;2046
1133;316
