Type
Wright Flyer III
Dirigible
Douglas DST-A-207A
Heinkel 116
Fairchild 51
De Havilland DH-85
Lockheed 14 Super Electra
Savoia Marchetti S-66
Curtiss-Wright Hawk
Armstrong-Withworth Atlanta
Martin M-130 (flying boat)
Douglas DF-151
Lockheed 14 Electra
Macchi C-94
De Havilland DH-84
Dornier DO.18
Savbia-Marchetti  S-73P
Junkers JU90V2
Douglas DC 3-A-SB-3-G-14
Nakajima DC-2
Lockheed 14-WF62 Super Electra
Short S23 ‘C’ Class flying boat
Douglas DC-2-115B
Lockheed 14-H Super Electra
Short S-23 (flying boat)
Junkers JU-86
Boeing 307 Stratoliner
Douglas DC-2-115H
de Havilland DH-84 Dragon
Caudron C.635 Simoun
Curtiss-Wright C-14 Osprey
Koolhoven FK.43
Junkers JU86 Z-2
Sikorsky S43 (flying boat)
De Havilland D-84
Airspeed Oxford
Savoia-Marchetti SM83
Handley Page HP-42
Junkers JU-52/3mge
Lockheed Hudson A16-97
Junkers JU-90
Farman F-224
Savoia-Marchetti SM-75
Ford 5-AT Tri-Motor
Douglas DC-3-3
Lockheed 18 Lodestar
Mitsubishi MC-20
Consolidated LB-30A Liberator
Bloch 220
Consolidated 32-2 Liberator I
Sikorsky S-42B (flying boat)
Junkers JU-53/3m
Lockheed Hudson
Grumman G-21 Goose
Consolidated Liberator
deHavilland DH-86
Consolidated B-24 Liberator
Douglas DC-2-221
Douglas DC-3-A-269
Douglas C-49E
Liore et Olivier H-246 Air Boat
Siebel Si-204
Short Sunderland
Short Sunderland (flying boat)
Dewoitine D-342
Douglas C-47
Douglas C-39-DO  (DC-2)
Sirkorsky 44A (flying boat)
Douglas DC-3 / Boeing B-34
Handley Page HP-57 Halifax
Short S-26 (flying boat)
Douglas C-54A
Consolidated C-87
Consolidated 32-3 Liberator II
Boeing XB-29
Boeing B-314 (flying boat)
Douglas C-53
Douglas C-47-DL
Short S-23
Douglas C-47A-DL
B-17C Flying Fortress
Lockheed Hudson VI
Consolidated Liberator B24 C
Short Sunderland 3 (flying boat)
Consolidated B-24
Boeing B-17F / Boeing B-17F
Douglas C-53D-DO
Douglas DC3-G102
Lockheed L-18-56 Lodestar
Douglas C-47A-60-DL
Consolidated B-24 / Consolidated B-24
Pilgrim 100B
Douglas C-47A
Lockheed 10C Electra
Douglas C-54A-DO (DC-4)
Douglas C-47A-DK
Consolidated Catalina PB2Y-3R
Consolidated PB4Y-1
Consolidated B-24H
Douglas C-54A-DC (DC-4)
Junkers JU52/3m
C-47 Dakota DT-941
Douglas C-47A-90-DL
Focke-Wulf FW 200
Boeing TB-29A Super Fortress
Consolidated B24H
Avro 683 Lancaster
